imgID,scID,bbox,area,catnm,label,position
x_1_382_31.png,1,"[244, 16, 657, 496]",734800,leak,1,1
x_2_320_21.png,1,"[901, 27, 51, 84]",124400,leak,1,1
x_1_1355_20.png,1,"[907, 245, 42, 92]",136300,leak,1,1
x_2_508_10.png,3,"[191, 93, 39, 74]",96700,leak,1,1
x_2_400_20.png,3,"[467, 0, 321, 764]",998700,leak,1,1
x_2_3079_01.png,4,"[0, 0, 578, 583]",647100,leak,1,1
x_3_1274_00.png,5,"[926, 292, 99, 222]",246700,leak,1,1
x_1_381_01.png,5,"[1029, 507, 6, 14]",15600,leak,1,1
s_5_922_01.png,6,"[111, 8, 187, 355]",394000,leak,1,1
x_2_433_01.png,6,"[0, 303, 23, 3]",191700,leak,1,1
x_3_438_21.png,6,"[49, 0, 479, 5]",554900,leak,1,1
x_1_345_31.png,7,"[768, 0, 285, 853]",555300,leak,1,1
x_1_299_21.png,8,"[0, 0, 243, 543]",709800,leak,1,1
x_3_3021_11.png,8,"[119, 553, 83, 5]",91500,crack,1,1
x_1_361_20.png,9,"[198, 162, 1081, 609]",844500,crack,1,1
x_2_357_20.png,11,"[367, 122, 196, 282]",526100,leak,1,1
x_2_2667_30.png,11,"[286, 315, 18, 24]",44800,crack,1,1
x_2_449_21.png,11,"[27, 314, 18, 16]",29900,crack,1,1
s_5_3270_11.png,11,"[44, 397, 25, 24]",44800,crack,1,1
s_5_980_30.png,11,"[485, 402, 81, 65]",121300,crack,1,1
x_2_354_10.png,13,"[0, 465, 31, 15]",25800,crack,1,1
x_2_2824_01.png,13,"[0, 457, 53, 23]",44200,crack,1,1
x_3_1264_30.png,13,"[353, 446, 37, 17]",30800,crack,1,1
x_1_305_30.png,16,"[833, 651, 366, 199]",305000,crack,1,1
x_1_385_21.png,16,"[0, 558, 202, 131]",168300,crack,1,1
x_2_451_31.png,17,"[372, 1, 156, 66]",130000,leak,1,1
x_2_3062_31.png,17,"[536, 72, 93, 41]",77500,leak,1,1
x_3_2842_11.png,20,"[706, 0, 85, 554]",615600,leak,1,1
x_1_439_11.png,20,"[105, 143, 63, 227]",252200,block,1,1
x_2_2965_21.png,20,"[656, 319, 12, 47]",52200,leak,1,1
x_2_152_10.png,21,"[5, 487, 168, 348]",386700,leak,1,1
x_3_241_00.png,21,"[103, 332, 54, 191]",450000,leak,1,1
x_2_509_11.png,21,"[648, 261, 188, 67]",156700,leak,1,1
x_1_163_00.png,21,"[523, 36, 209, 461]",512200,leak,1,1
x_1_189_21.png,22,"[729, 0, 177, 564]",737300,leak,1,1
x_3_1265_10.png,24,"[0, 7, 999, 992]",999000,leak,1,1
x_1_181_30.png,24,"[884, 804, 28, 23]",28000,crack,1,1
x_3_1250_20.png,24,"[319, 695, 27, 2]",27000,crack,1,1
x_3_1330_20.png,24,"[688, 839, 24, 3]",30000,crack,1,1
x_2_2803_21.png,24,"[572, 524, 13, 15]",15000,crack,1,1
x_1_238_01.png,24,"[584, 504, 13, 12]",13000,crack,1,1
x_3_2825_10.png,24,"[581, 493, 13, 1]",13000,crack,1,1
x_1_282_00.png,24,"[59, 486, 9, 1]",10000,crack,1,1
x_3_1352_21.png,24,"[576, 48, 8, 9]",9000,crack,1,1
x_2_361_30.png,24,"[581, 478, 8, 8]",8000,crack,1,1
x_2_433_00.png,24,"[615, 477, 9, 1]",10000,crack,1,1
x_2_3026_00.png,24,"[591, 467, 9, 7]",9000,crack,1,1
s_5_1817_20.png,24,"[606, 464, 16, 7]",16000,crack,1,1
x_1_331_01.png,24,"[945, 812, 27, 21]",27000,crack,1,1
x_1_382_10.png,24,"[207, 991, 2, 8]",20000,crack,1,1
x_2_2825_10.png,24,"[523, 95, 461, 452]",461000,leak,1,1
x_3_1274_10.png,24,"[797, 386, 193, 259]",259000,leak,1,1
s_4_751_11.png,25,"[49, 0, 16, 416]",288900,leak,1,1
x_2_2887_01.png,26,"[484, 0, 176, 849]",943300,leak,1,1
x_2_1419_31.png,26,"[529, 101, 1, 18]",20000,leak,1,1
x_1_287_21.png,26,"[419, 393, 205, 352]",391100,leak,1,1
x_3_1278_31.png,26,"[8, 753, 208, 79]",173300,leak,1,1
x_1_2743_20.png,26,"[199, 636, 155, 13]",129200,leak,1,1
s_4_1808_21.png,26,"[408, 692, 144, 9]",120000,leak,1,1
s_4_1822_31.png,26,"[0, 405, 136, 6]",113300,leak,1,1
x_3_294_20.png,29,"[346, 0, 92, 54]",101400,crack,1,1
s_5_755_31.png,29,"[778, 0, 128, 764]",998700,leak,1,1
x_2_1476_01.png,29,"[0, 0, 123, 113]",147700,block,1,1
x_2_306_31.png,30,"[135, 0, 114, 471]",471000,leak,1,1
x_2_499_21.png,31,"[37, 227, 64, 29]",94800,crack,1,1
x_3_480_11.png,35,"[0, 285, 47, 195]",391700,leak,1,1
s_5_1051_21.png,35,"[72, 394, 3, 1]",250000,leak,1,1
x_2_1443_00.png,35,"[328, 384, 8, 6]",6700,leak,1,1
x_2_274_00.png,35,"[391, 463, 31, 135]",258300,leak,1,1
x_3_1262_21.png,36,"[479, 401, 73, 65]",121300,crack,1,1
x_2_434_10.png,36,"[367, 115, 191, 289]",539200,leak,1,1
x_1_142_01.png,38,"[531, 195, 583, 399]",485800,leak,1,1
x_1_477_01.png,38,"[201, 441, 505, 196]",420800,crack,1,1
x_2_381_00.png,39,"[571, 34, 13, 31]",38700,leak,1,1
x_1_360_21.png,39,"[822, 369, 76, 36]",63300,crack,1,1
x_1_1344_10.png,39,"[775, 222, 17, 84]",105000,leak,1,1
x_3_2989_20.png,39,"[1101, 147, 84, 99]",123700,leak,1,1
x_2_412_20.png,39,"[418, 44, 135, 373]",466200,leak,1,1
x_2_1426_20.png,39,"[75, 361, 71, 42]",59200,crack,1,1
x_3_312_00.png,43,"[439, 27, 11, 123]",160800,leak,1,1
x_1_175_21.png,43,"[775, 478, 131, 286]",373900,leak,1,1
s_4_867_10.png,45,"[81, 0, 39, 394]",547200,leak,1,1
x_1_2764_20.png,52,"[743, 0, 187, 499]",553800,leak,1,1
x_3_2727_31.png,57,"[665, 42, 217, 298]",331100,leak,1,1
x_1_500_10.png,62,"[757, 22, 12, 7]",103700,leak,1,1
s_4_938_20.png,62,"[582, 237, 17, 34]",50400,leak,1,1
x_3_1373_10.png,63,"[37, 0, 129, 242]",448100,leak,1,1
x_3_450_31.png,63,"[318, 36, 13, 28]",51900,leak,1,1
s_5_732_21.png,64,"[1599, 0, 87, 138]",46000,leak,1,1
s_4_679_31.png,64,"[2723, 0, 87, 288]",96000,leak,1,1
x_3_404_11.png,67,"[502, 96, 397, 294]",441100,leak,1,1
s_4_3342_20.png,67,"[0, 56, 53, 995]",829200,leak,1,1
x_2_2995_30.png,67,"[428, 85, 64, 195]",162500,leak,1,1
x_3_2711_20.png,67,"[517, 106, 56, 139]",115800,leak,1,1
x_1_172_10.png,40,"[816, 486, 183, 285]",285000,crack,1,1
x_2_451_01.png,40,"[574, 653, 376, 346]",376000,crack,1,1
x_3_2837_01.png,40,"[297, 777, 297, 222]",297000,crack,1,1
x_1_1191_11.png,40,"[5, 902, 216, 97]",216000,crack,1,1
x_1_255_01.png,68,"[303, 375, 413, 322]",357800,leak,1,1
x_3_1317_21.png,92,"[527, 423, 17, 11]",18700,crack,1,1
x_3_292_20.png,92,"[579, 454, 28, 15]",30900,crack,1,1
x_1_341_11.png,92,"[589, 472, 22, 14]",24300,crack,1,1
